,RADIATION,TEMP,HUMIDITY_h
2012-11-06,17202.4,19.025,85.0
2012-11-07,18335.1,19.125,84.45833333333333
2012-11-08,16591.8,19.229166666666668,83.08333333333333
2012-11-09,8445.9,17.712500000000002,94.95833333333333
2012-11-10,6867.1,16.6875,96.125
2012-11-11,16341.1,19.158333333333335,87.95833333333333
2012-11-12,15708.5,20.9875,82.58333333333333
2012-11-13,11099.8,20.216666666666665,91.54166666666667
2012-11-14,7627.6,15.941666666666668,95.79166666666667
2012-11-15,12124.800000000001,15.754166666666668,95.58333333333333
2012-11-16,14767.199999999999,17.912499999999998,92.91666666666667
2012-11-17,26613.2,16.73333333333333,79.70833333333333
2012-11-18,22520.4,16.629166666666666,82.54166666666667
2012-11-19,15381.2,17.908333333333335,86.625
2012-11-20,11680.1,17.929166666666667,90.66666666666667
2012-11-21,30167.3,19.116666666666667,76.25
2012-11-22,27636.8,19.533333333333335,75.75
2012-11-23,30005.100000000002,22.358333333333334,66.70833333333333
2012-11-24,24675.0,23.125,74.08333333333333
2012-11-25,4543.3,18.5125,96.625
2012-11-26,13333.5,18.258333333333333,94.5
2012-11-27,13246.6,19.1375,93.83333333333333
2012-11-28,17584.7,19.991666666666667,91.08333333333333
2012-11-29,29840.7,22.008333333333336,77.875
2012-11-30,23233.6,19.337500000000002,83.33333333333333
2012-12-01,11428.2,18.920833333333334,92.04166666666667
2012-12-02,19749.9,20.520833333333332,87.0
2012-12-03,19188.6,20.333333333333332,85.95833333333333
2012-12-04,27056.100000000002,21.712500000000002,79.5
2012-12-05,25362.9,22.22083333333333,74.875
2012-12-06,24665.1,22.84583333333333,71.125
2012-12-07,22850.0,22.879166666666666,75.95833333333333
2012-12-08,22716.0,23.045833333333334,83.20833333333333
2012-12-09,14307.1,21.395833333333332,89.91666666666667
2012-12-10,20776.6,21.037499999999998,87.16666666666667
2012-12-11,24828.2,22.46666666666667,84.125
2012-12-12,19883.6,22.104166666666668,84.33333333333333
2012-12-13,17727.4,21.791666666666668,83.29166666666667
2012-12-14,16411.6,22.420833333333334,85.75
2012-12-15,22079.3,21.75,84.625
2012-12-16,17693.1,22.066666666666666,82.25
2012-12-17,23288.3,21.629166666666666,80.25
2012-12-18,30568.8,22.983333333333334,74.66666666666667
2012-12-19,13065.7,21.229166666666668,89.875
2012-12-20,27238.7,22.104166666666668,79.66666666666667
2012-12-21,20061.4,22.087500000000002,87.20833333333333
2012-12-22,26954.899999999998,22.570833333333336,80.83333333333333
2012-12-23,21845.8,21.816666666666666,81.83333333333333
2012-12-24,28369.2,22.150000000000002,75.91666666666667
2012-12-25,31318.6,23.895833333333332,67.79166666666667
2012-12-26,27144.1,25.008333333333336,67.16666666666667
2012-12-27,25125.8,24.662499999999998,67.54166666666667
2012-12-28,23963.4,22.629166666666666,78.41666666666667
2012-12-29,17785.6,21.354166666666668,75.41666666666667
2012-12-30,23785.4,22.65416666666667,74.75
2012-12-31,28489.0,22.129166666666666,76.125
2013-01-01,29059.5,22.795833333333334,67.20833333333333
2013-01-02,21756.4,23.25,66.08333333333333
2013-01-03,15696.7,21.429166666666664,83.91666666666667
2013-01-04,18344.2,20.849999999999998,85.83333333333333
2013-01-05,20894.4,21.195833333333333,78.95833333333333
2013-01-06,23543.1,22.96666666666667,71.95833333333333
2013-01-07,18463.0,21.6875,77.91666666666667
2013-01-08,13213.4,20.333333333333332,91.375
2013-01-09,11862.099999999999,20.650000000000002,89.79166666666667
2013-01-10,8426.7,19.645833333333332,92.16666666666667
2013-01-11,3988.2,16.958333333333332,98.29166666666667
2013-01-12,14245.300000000001,19.208333333333332,89.0
2013-01-13,19631.5,19.708333333333332,86.54166666666667
2013-01-14,21332.3,20.116666666666667,84.79166666666667
2013-01-15,13533.4,19.7,88.58333333333333
2013-01-16,13712.0,19.433333333333334,93.20833333333333
2013-01-17,17388.5,19.837500000000002,91.33333333333333
2013-01-18,18864.100000000002,19.908333333333335,89.29166666666667
2013-01-19,25638.4,20.558333333333334,86.375
2013-01-20,14735.9,18.979166666666668,92.16666666666667
2013-01-21,28514.899999999998,18.5125,84.70833333333333
2013-01-22,17011.4,18.083333333333332,86.04166666666667
2013-01-23,19418.899999999998,18.245833333333334,87.75
2013-01-24,17465.6,19.54583333333333,89.08333333333333
2013-01-25,22120.1,21.666666666666668,86.0
2013-01-26,9791.3,20.970833333333335,91.375
2013-01-27,10491.5,20.004166666666666,96.29166666666667
2013-01-28,9116.3,17.629166666666666,98.0
2013-01-29,8576.199999999999,18.579166666666666,97.58333333333333
2013-01-30,14110.5,19.875,92.91666666666667
2013-01-31,6445.1,19.133333333333333,98.04166666666667
2013-02-01,15374.1,20.295833333333334,93.125
2013-02-02,7214.6,19.929166666666667,92.95833333333333
2013-02-03,22867.5,20.724999999999998,83.33333333333333
2013-02-04,8042.5,19.566666666666666,90.66666666666667
2013-02-05,12025.5,18.962500000000002,93.70833333333333
2013-02-06,10990.9,18.479166666666668,92.375
2013-02-07,22137.7,20.833333333333332,81.58333333333333
2013-02-08,18046.6,20.754166666666666,83.29166666666667
2013-02-09,23988.2,21.662499999999998,77.33333333333333
2013-02-10,25925.9,21.883333333333336,79.20833333333333
2013-02-11,21882.399999999998,21.75,75.79166666666667
2013-02-12,22972.6,22.041666666666668,71.125
2013-02-13,21708.9,22.5,70.58333333333333
2013-02-14,27358.6,22.5,69.0
2013-02-15,23880.3,22.854166666666668,68.625
2013-02-16,18813.5,22.891666666666666,73.125
2013-02-17,21843.7,22.666666666666668,71.45833333333333
2013-02-18,24846.8,23.041666666666668,68.625
2013-02-19,23386.0,22.458333333333332,71.04166666666667
2013-02-20,23804.100000000002,21.6375,75.04166666666667
2013-02-21,24243.7,21.216666666666665,74.375
2013-02-22,24445.0,22.020833333333332,69.20833333333333
2013-02-23,20571.2,21.616666666666664,80.04166666666667
2013-02-24,21221.2,20.775000000000002,81.20833333333333
2013-02-25,23098.6,21.770833333333332,78.20833333333333
2013-02-26,22923.1,22.583333333333332,75.95833333333333
2013-02-27,16286.3,20.766666666666666,89.33333333333333
2013-02-28,16092.7,20.037499999999998,90.0
2013-03-01,3912.8,18.304166666666667,98.375
2013-03-02,6758.2,17.429166666666667,98.20833333333333
2013-03-03,15201.0,19.916666666666668,89.41666666666667
2013-03-04,21201.2,21.95,81.16666666666667
2013-03-05,23415.4,22.266666666666666,80.875
2013-03-06,17346.2,21.695833333333336,84.625
2013-03-07,16386.7,21.891666666666666,84.875
2013-03-08,16693.4,21.912499999999998,88.20833333333333
2013-03-09,19854.3,23.037499999999998,78.79166666666667
2013-03-10,18825.7,21.429166666666664,86.08333333333333
2013-03-11,15843.7,21.383333333333336,85.875
2013-03-12,24014.1,22.558333333333334,84.29166666666667
2013-03-13,19476.0,22.662499999999998,83.66666666666667
2013-03-14,18512.0,21.070833333333333,89.04166666666667
2013-03-15,17996.2,19.616666666666667,89.25
2013-03-16,20882.899999999998,21.216666666666665,81.75
2013-03-17,19145.2,21.23333333333333,81.75
2013-03-18,10296.5,18.241666666666667,92.375
2013-03-19,7987.5,15.833333333333334,92.625
2013-03-20,10212.4,16.320833333333333,92.375
2013-03-21,12781.0,19.625,86.58333333333333
2013-03-22,12250.3,20.5625,87.70833333333333
2013-03-23,17379.5,20.287499999999998,88.375
2013-03-24,16181.6,19.641666666666666,88.66666666666667
2013-03-25,13151.1,20.091666666666665,89.79166666666667
2013-03-26,12650.1,19.1375,89.95833333333333
2013-03-27,11662.6,20.361904761904764,92.04761904761905
2013-03-28,8599.1,19.855555555555554,84.0
2013-03-29,15727.0,16.900000000000002,87.83333333333333
2013-03-30,8234.5,16.445833333333333,96.54166666666667
2013-03-31,9143.5,17.575,94.95833333333333
2013-04-01,17116.0,19.729166666666668,87.33333333333333
2013-04-02,15194.7,20.491666666666667,87.375
2013-04-03,15295.0,19.733333333333334,88.91666666666667
2013-04-04,10606.6,19.579166666666666,91.91666666666667
2013-04-05,7153.200000000001,19.25,94.375
2013-04-06,16818.7,20.849999999999998,87.08333333333333
2013-04-07,15741.0,21.120833333333334,88.95833333333333
2013-04-08,11561.199999999999,19.233333333333334,94.95833333333333
2013-04-09,10004.1,17.7375,95.33333333333333
2013-04-10,3976.9,16.579166666666666,98.875
2013-04-11,6252.7,17.016666666666666,99.16666666666667
2013-04-12,12537.4,19.958333333333332,89.91666666666667
2013-04-13,8856.3,19.883333333333333,95.66666666666667
2013-04-14,8006.9,17.775000000000002,95.125
2013-04-15,14794.4,17.3,90.45833333333333
2013-04-16,20604.5,19.366666666666667,78.75
2013-04-17,19413.7,16.895833333333332,82.95833333333333
2013-04-18,13394.0,15.5875,87.04166666666667
2013-04-19,13651.2,16.900000000000002,90.125
2013-04-20,18360.5,16.479166666666668,84.125
2013-04-21,12785.2,14.454166666666666,89.16666666666667
2013-04-22,19145.7,15.225,83.25
2013-04-23,11622.3,14.3125,91.20833333333333
2013-04-24,14052.3,15.2875,86.79166666666667
2013-04-25,12106.7,15.0875,87.25
2013-04-26,17102.6,15.4,83.33333333333333
2013-04-27,20553.7,17.025000000000002,74.125
2013-04-28,19032.3,15.433333333333335,83.95833333333333
2013-04-29,16002.8,16.3875,79.75
2013-04-30,19479.0,18.175,78.625
2013-05-01,18646.9,18.55,82.08333333333333
2013-05-02,12546.5,17.9375,85.875
2013-05-03,19749.2,18.908333333333335,75.0
2013-05-04,19736.100000000002,19.158333333333335,70.41666666666667
2013-05-05,19243.9,19.583333333333332,58.25
2013-05-06,14015.7,17.179166666666667,73.70833333333333
2013-05-07,17204.3,16.195833333333333,80.54166666666667
2013-05-08,17642.9,14.8125,75.79166666666667
2013-05-09,17198.9,14.112499999999999,82.375
2013-05-10,14366.199999999999,14.708333333333334,87.58333333333333
2013-05-11,11478.5,14.3375,87.45833333333333
2013-05-12,15128.9,15.725,83.41666666666667
2013-05-13,16315.9,17.291666666666668,79.58333333333333
2013-05-14,17020.2,19.224999999999998,77.375
2013-05-15,17800.899999999998,19.462500000000002,75.875
2013-05-16,13711.199999999999,18.841666666666665,80.25
2013-05-17,3193.2000000000003,16.6125,95.95833333333333
2013-05-18,5559.2,15.304166666666667,96.66666666666667
2013-05-19,12992.3,15.5875,94.625
2013-05-20,11960.9,16.4875,87.625
2013-05-21,14239.5,18.933333333333334,82.375
2013-05-22,10700.7,17.8125,89.125
2013-05-23,10075.7,16.099999999999998,89.75
2013-05-24,5285.8,14.470833333333333,92.625
2013-05-25,6398.7,13.441666666666668,97.125
2013-05-26,10681.6,13.758333333333333,91.58333333333333
2013-05-27,9463.7,15.808333333333335,88.95833333333333
2013-05-28,14769.0,15.825000000000001,90.5
2013-05-29,5116.3,15.237499999999999,95.08333333333333
2013-05-30,6705.1,15.620833333333332,91.91666666666667
2013-05-31,7684.5,16.0125,92.5
2013-06-01,9508.1,16.837500000000002,91.75
2013-06-02,11794.7,18.308333333333334,85.95833333333333
2013-06-03,3414.8,16.533333333333335,95.625
2013-06-04,7208.3,14.404166666666667,94.25
2013-06-05,13594.5,15.799999999999999,87.125
2013-06-06,10832.2,17.054166666666667,86.04166666666667
2013-06-07,13032.1,17.150000000000002,88.0
2013-06-08,10638.0,16.787499999999998,91.54166666666667
2013-06-09,11697.9,15.133333333333333,93.20833333333333
2013-06-10,12649.6,16.349999999999998,86.20833333333333
2013-06-11,13019.9,16.616666666666667,84.25
2013-06-12,13720.6,17.9875,77.83333333333333
2013-06-13,14218.7,17.379166666666666,84.16666666666667
2013-06-14,9736.9,16.420833333333334,90.25
2013-06-15,10528.1,16.641666666666666,91.79166666666667
2013-06-16,11280.0,16.204166666666666,88.41666666666667
2013-06-17,8721.9,16.370833333333334,85.08333333333333
2013-06-18,12769.3,15.950000000000001,86.125
2013-06-19,14889.099999999999,16.275000000000002,84.375
2013-06-20,12259.3,16.891666666666666,82.95833333333333
